Temperature Range,pass_yds,rush_yds
0 - 32 Degrees,452.4347826086956,225.08695652173913
32 - 60 Degrees,466.54379562043795,240.27007299270073
60 - 90 Degrees,521.3082851637765,226.4335260115607
90 - 120 Degrees,489.25,247.5
