Wind Speed Range (mph),pass_yds,rush_yds
0 - 5,523.3519813519814,229.16783216783216
5 - 10,487.8867924528302,235.43867924528303
10 - 15,476.64102564102564,222.48717948717947
15 - 20,439.80434782608694,241.69565217391303
20 - 25,442.0,258.0
25 - 30,386.0,223.0
30 - 40,233.0,310.0
